"indicator_id","dimension_id","indicator_original_name","indicator_direction","indicator_weight","date","period_id","geo_id","indicator_value","source_id","total","year"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-EX",124.687934349139,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-GA",145.937627351815,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-IB",188.88495675603,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-MC",107.89366581966,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-MD",292.856475315913,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-ML",NA,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-NC",164.368751761273,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-PV",232.599012527864,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-RI",131.991448613155,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-VC",126.763607850456,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ESP",176.909052741704,"EVASTUR",TRUE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2024-01-01","Y","ES-AN",166.502437381991,"EVASTUR",FALSE,"2024"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2024-01-01","Y","ES-AR",154.3546014411,"EVASTUR",FALSE,"2024"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2024-01-01","Y","ES-AS",132.357479948497,"EVASTUR",FALSE,"2024"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2024-01-01","Y","ES-CB",142.705735500081,"EVASTUR",FALSE,"2024"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2024-01-01","Y","ES-CE",NA,"EVASTUR",FALSE,"2024"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2024-01-01","Y","ES-CL",139.749910029408,"EVASTUR",FALSE,"2024"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2024-01-01","Y","ES-CM",136.309654811386,"EVASTUR",FALSE,"2024"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2024-01-01","Y","ES-CN",183.981186254154,"EVASTUR",FALSE,"2024"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2024-01-01","Y","ES-CT",211.737536828392,"EVASTUR",FALSE,"2024"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2024-01-01","Y","ES-EX",123.173611799297,"EVASTUR",FALSE,"2024"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2024-01-01","Y","ES-GA",164.781999468883,"EVASTUR",FALSE,"2024"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2024-01-01","Y","ES-IB",202.945348728015,"EVASTUR",FALSE,"2024"
